1/tcp	tcpmux
1900/udp	Simple Service Discovery Protocol (SSDP), discovery of UPnP devices
1900/assigned	Simple Service Discovery Protocol (SSDP), discovery of UPnP devices
1935/udp	Macromedia Flash Communications Server MX, the precursor to Adobe Flash Media Server before Macromedia's acquisition by Adobe on December 3, 2005
1935/tcp	Macromedia Flash Communications Server MX, the precursor to Adobe Flash Media Server before Macromedia's acquisition by Adobe on December 3, 2005
1970/udp	Netop Remote Control
1970/tcp	Netop Remote Control
1972/udp	InterSystems Cache
1972/tcp	InterSystems Cache
1984/udp	Big Brother
1984/tcp	Big Brother
1985/udp 	Cisco Hot Standby Router Protocol (HSRP)
1985/assigned	Cisco Hot Standby Router Protocol (HSRP)
1998/udp	Cisco X.25 over TCP (XOT) service
1998/tcp	Cisco X.25 over TCP (XOT) service
2000/udp	Cisco Skinny Client Control Protocol (SCCP)
2000/tcp	Cisco Skinny Client Control Protocol (SCCP)
2080/udp	Autodesk NLM (FLEXlm)
2080/tcp	Autodesk NLM (FLEXlm)
2083/udp	Secure RADIUS Service (radsec)
2083/tcp	Secure RADIUS Service (radsec)
2086/udp	GNUnet
2086/tcp	GNUnet
2102/udp	Zephyr Notification Service server
2102/tcp	Zephyr Notification Service server
2103/udp	Zephyr Notification Service serv-hm connection
2103/tcp	Zephyr Notification Service serv-hm connection
2104/udp	Zephyr Notification Service hostmanager
2104/tcp	Zephyr Notification Service hostmanager
2123/udp	GTP control messages (GTP-C)
2123/tcp	GTP control messages (GTP-C)
2142/udp	TDMoIP (TDM over IP)
2142/tcp	TDMoIP (TDM over IP)
2152/udp	GTP user data messages (GTP-U)
2152/tcp	GTP user data messages (GTP-U)
2159/udp	GDB remote debug port
2159/tcp	GDB remote debug port
2181/udp	EForward-document transport system
2181/tcp	EForward-document transport system
2210/udp	NOAAPORT Broadcast Network
2210/tcp	NOAAPORT Broadcast Network
2211/udp	EMWIN
2211/tcp	EMWIN
2222/udp	EtherNet/IP implicit messaging for IO data
2222/tcp	EtherNet/IP implicit messaging for IO data
2261/udp	CoMotion master
2261/tcp	CoMotion master
2262/udp	CoMotion backup
2262/tcp	CoMotion backup
2266/udp	M-Files
2266/tcp	M-Files
2399/udp	FileMaker Data Access Layer (ODBC/JDBC)
2399/tcp	FileMaker Data Access Layer (ODBC/JDBC)
2401/udp	CVS version control system password-based server
2401/tcp	CVS version control system password-based server
2404/udp	IEC 60870-5-104, used to send electric power telecontrol messages between two systems via directly connected data circuits
2404/tcp	IEC 60870-5-104, used to send electric power telecontrol messages between two systems via directly connected data circuits
2427/udp	Media Gateway Control Protocol (MGCP) media gateway
2427/tcp	Media Gateway Control Protocol (MGCP) media gateway
2447/udp	ovwdb OpenView Network Node Manager (NNM) daemon
2447/tcp	ovwdb OpenView Network Node Manager (NNM) daemon
2483/udp	Oracle database listening for insecure client connections to the listener, replaces port 1521
